Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	69.955044
1	CPU Time	3.730928
1	Performance-core (P-core)	
2	Memory Bound	4.4
3	L1 Bound	15.3
3	L2 Bound	0.1
3	L3 Bound	0.0
3	DRAM Bound	0.0
3	Store Bound	0.0
1	Efficient-core (E-core)	
2	Memory Bound	15.2
3	L1 Bound	14.4
3	L2 Bound	0.1
3	L3 Bound	0.1
3	DRAM Bound	0.1
1	Uncore	
2	DRAM Bandwidth Bound	0.0
1	Loads	88042508433
1	Stores	51498509861
1	LLC Miss Count	0
1	Average Latency (cycles)	4.550267
1	Total Thread Count	2
1	Paused Time	0.0
0	Bandwidth Utilization	
0	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
0	DRAM, GB/sec	48.000000	33.200000	4.166819	0.0
0	Collection and Platform Info	
1	Application Command Line	./headless 
1	Operating System	6.11.0-19-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=24.04 DISTRIB_CODENAME=noble DISTRIB_DESCRIPTION="Ubuntu 24.04.2 LTS"
1	Computer Name	Camilo649
1	Result Size	148078326
1	Collection start time	23:22:26 24/03/2025 UTC
1	Collection stop time	23:23:36 24/03/2025 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-P
2	Frequency	2611200023
2	Logical CPU Count	12
2	Max DRAM Single-Package Bandwidth	48000000000.000000
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
